GeneID,GeneName
ENSMZEG00005021150,cntnap2a
ENSMZEG00005021153,ptgdsb.2
ENSMZEG00005021156,c8g
ENSMZEG00005021160,msrb2
ENSMZEG00005021163,armc3
ENSMZEG00005021174,pip4k2aa
ENSMZEG00005021183,spag6
ENSMZEG00005021187,bmi1a
ENSMZEG00005021193,commd3
ENSMZEG00005021201,mllt10
ENSMZEG00005021206,SKIDA1
ENSMZEG00005021209,pdia4
ENSMZEG00005021218,si:ch211-217a12.1
ENSMZEG00005021234,ppp1r16a
ENSMZEG00005021242,foxh1
ENSMZEG00005021246,oplah
ENSMZEG00005021257,shrprbck1r
ENSMZEG00005021263,prlh2
ENSMZEG00005021269,NA
ENSMZEG00005021276,NA
ENSMZEG00005021280,hgd
ENSMZEG00005021284,ndufb4
ENSMZEG00005021289,arxa
ENSMZEG00005021295,pola1
ENSMZEG00005021312,pcyt1ba
ENSMZEG00005021317,pdk3a
ENSMZEG00005021322,slc51a
ENSMZEG00005021327,ZDHHC20
ENSMZEG00005021337,marchf6
ENSMZEG00005021347,si:rp71-1f1.5
ENSMZEG00005021350,cct5
ENSMZEG00005021355,cmbl
ENSMZEG00005021359,mtrr
ENSMZEG00005021366,sema5a
ENSMZEG00005021380,si:dkey-118j18.2
ENSMZEG00005021383,timm21
ENSMZEG00005021386,neto1l
ENSMZEG00005021393,NA
ENSMZEG00005021397,cbln2b
ENSMZEG00005021400,socs6a
ENSMZEG00005021410,rttn
ENSMZEG00005021430,cd226
ENSMZEG00005021433,dok6
ENSMZEG00005021437,crispld1a
ENSMZEG00005021443,pi15a
ENSMZEG00005021446,gdap1
ENSMZEG00005021451,jph1a
ENSMZEG00005021455,elocb
ENSMZEG00005021456,ube2wa
ENSMZEG00005021462,stau2
ENSMZEG00005021474,rdh10a
ENSMZEG00005021476,rpl7
ENSMZEG00005021495,SBSPON
ENSMZEG00005021498,NA
ENSMZEG00005021502,KCNB2
ENSMZEG00005021515,trpa1b
ENSMZEG00005021540,MSC
ENSMZEG00005021544,eya1
ENSMZEG00005021558,xkr9
ENSMZEG00005021565,tram1
ENSMZEG00005021584,ncoa2
ENSMZEG00005021597,prdm14
ENSMZEG00005021600,SLCO5A1
ENSMZEG00005021610,sulf1
ENSMZEG00005021630,zgc:162928
ENSMZEG00005021644,prex2
ENSMZEG00005021662,cpa6
