"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006338","GO:0006338","chromatin remodeling","22/478","273/18773",0.0805860805860806,3.16494244946128,5.82431465596612,2.11142770318146e-06,0.00386813555222844,0.003758341311663,"hp1bp3/jarid2b/macroh2a2/smarca4a/ino80c/mbd3b/nrde2/trip12/hdgfl2/macroh2a1/mbd1b/atrx/ezh2/kdm4b/hells/suv39h1a/yeats2/smarca2/brd3b/hpf1/kdm5c/kdm5bb",22
"GO:0006325","GO:0006325","chromatin organization","25/478","375/18773",0.0666666666666667,2.61827057182706,5.11663547214211,1.271726481783e-05,0.0116490145731323,0.0113183656878687,"hp1bp3/kdm2ab/jarid2b/macroh2a2/smarca4a/ino80c/mbd3b/nrde2/trip12/hdgfl2/macroh2a1/mbd1b/atrx/kmt2bb/rad54l2/ezh2/kdm4b/hells/suv39h1a/yeats2/smarca2/brd3b/hpf1/kdm5c/kdm5bb",25
"GO:0031507","GO:0031507","heterochromatin formation","10/478","75/18773",0.133333333333333,5.23654114365411,5.94220316875016,1.96433899560098e-05,0.01199556346647,0.0116550780405658,"macroh2a2/smarca4a/mbd3b/nrde2/trip12/macroh2a1/mbd1b/ezh2/hells/smarca2",10
"GO:0045814","GO:0045814","negative regulation of gene expression, epigenetic","10/478","87/18773",0.114942528735632,4.51425960659837,5.31053540886613,7.2236556420291e-05,0.0330843428404933,0.0321452676070295,"macroh2a2/smarca4a/mbd3b/nrde2/trip12/macroh2a1/mbd1b/ezh2/hells/smarca2",10
"GO:1901292","GO:1901292","nucleoside phosphate catabolic process","9/478","95/18773",0.0947368421052632,3.72070028628056,4.29714821687776,0.000706169790166841,0.25874061111713,0.251396445299395,"nudt18/eno2/pkmb/fhit/pde8a/entpd4/sarm1/entpd5a/insra",9
"GO:0009166","GO:0009166","nucleotide catabolic process","8/478","80/18773",0.1,3.92740585774059,4.24122626459326,0.000970704680475157,0.260617054530272,0.253219627218277,"nudt18/eno2/pkmb/fhit/pde8a/entpd4/sarm1/insra",8
"GO:0040029","GO:0040029","epigenetic regulation of gene expression","10/478","120/18773",0.0833333333333333,3.27283821478382,4.03727018872789,0.000995807522768506,0.260617054530272,0.253219627218277,"macroh2a2/smarca4a/mbd3b/nrde2/trip12/macroh2a1/mbd1b/ezh2/hells/smarca2",10
"GO:0045934","GO:0045934","negative regulation of nucleobase-containing compound metabolic process","22/478","427/18773",0.0515222482435597,2.02348779555721,3.45803134386631,0.00148212928410714,0.315570129992055,0.306612899228089,"maf1b/smarce1/rnf169/cbx8a/kctd1/macroh2a2/mier3b/mbd3b/rtel1/igf2bp2a/nrde2/sap130a/macroh2a1/mbd1b/zbtb25/bmal1a/thrb/timeless/tegt/dhx34/zc3h4/scrt2",22
"GO:0034655","GO:0034655","nucleobase-containing compound catabolic process","17/478","295/18773",0.0576271186440678,2.26325083327424,3.53489187483853,0.00155640416656079,0.315570129992055,0.306612899228089,"nudt18/eno2/pkmb/edc3/fhit/pde8a/igf2bp2a/nrde2/cnot8/entpd4/sarm1/xrn1/ncbp2/fastk/entpd5a/dhx34/insra",17
"GO:0001709","GO:0001709","cell fate determination","3/478","10/18773",0.3,11.7822175732218,5.51264423966514,0.00172254437768589,0.315570129992055,0.306612899228089,"atoh1a/atoh1b/thrb",3
